,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Housing Case Manager FT (EA),"MALDEN, MA",May  1,https://boston.craigslist.org/nos/npo/d/malden-housing-case-manager-ft-ea/7315220525.html,"
compensation: Dependent on experience up to 42K

employment type: full-time

","

QR Code Link to This Post


Role Purpose The Housing Case Manager will report directly to the Shelter Program Manager and will be responsible for helping families experiencing homelessness develop housing strategies for obtaining permanent housing and connecting families to necessary supports to increase stability. This is done through building a relationship with adult family members, thoroughly assessing their strengths and barriers to obtaining housing, collaborating with each family to minimize barriers to housing, searching for housing, and advocating for families. The case manager will play a key role in assisting the agency in meeting specific housing goals to satisfy our funding source requirements.  Responsibilities Develop relationships with families who are homeless and facing issues such as mental illness, substance abuse, and physical disability, history of trauma and/or domestic violence, and poverty.  Tasks will include meeting weekly with each family, completing thorough assessments, providing support and referrals as well as ensuring regular contact with other services providers and assess families’ strengths and barriers to obtaining permanent housing.  Partner with families to create, review, and enforce a Re-housing Plan that reflects the goals of the family and funder, and that addresses each family member’s needs.    Assist families in completing housing applications and ensuring that all preferences and priorities are obtained.  Attend housing screenings and appeals with families, providing transportation when necessary.  Conduct weekly unit inspections to ensure the property is being maintained.  Partake in rotating on-call requirements.  Complete all necessary paperwork and documentation needed to be in compliance with program requirements and state regulations.  Support agency by volunteering for agency events.  All other assigned duties as they arise.        QUALIFICATIONS / REQUIREMENTS:      Qualifications  Bachelors' degree in psychology, social work, or      related field preferred   Prior experience working with low-income      individuals and/or families required.   Proficiency with Microsoft Word and Excel.   Excellent communication and engagement skills.        Attention to detail and time management. Second language a plus but not required.    Desired Attributes Must be able to hear and incorporate feedback quickly; ability to empathically de-escalate various situations; critical thinking, assessment, problem solving and negotiating skills; ability to remain calm and responsive during crisis. The ability to be flexible and adaptable to changes. Detailed, thoughtful, and thorough; advocacy skills; ability to work with a diverse team and population.      Eligibility Requirements  Must have reliable transportation and be      willing to travel in the Greater Boston area and commute families to      critical housing appointments when necessary.  Must be willing to work 40 hours per week and      adapt schedule to meet the needs of families.  Must have unrestricted work authorization to      work in the United States.   Must be 18 years or older.   Benefits eligible. Starting salary      commensurate with experience, language capacity, and education.  For more information about Housing Families Inc. please visit our website at www.housingfamilies.org.  Please apply online with Housing Families Inc. at: https://housing-families-inc1.hiringthing.com/job/250894/housing-case-manager-ft-ea?s=cl
"
2,Medical Technologist II - Flow Cytometry,Boston,Apr 30,https://boston.craigslist.org/gbs/npo/d/boston-medical-technologist-ii-flow/7314970448.html,"
compensation: Hourly rate, varies depending on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.

To be considered for this role, apply directly on our careers page with the following link:
https://jobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=368&siteid=5205&Areq=53702BR

This Medical Technologist II will be responsible for:
Independently perform specialized procedures unique to laboratory’s discipline.
Training and teaching laboratory personnel and others. Contributes to the continuing education program.
Observing guides, verifies and checks documentation of less experienced lab personnel.
May act as lead in absence of supervisor/manager. May prepare schedule or draft procedures.
Performing special projects as assigned.

To qualify, you must have:
Bachelor’s Degree in Medical Technology or Medical Lab Science + 2 years clinical laboratory experience OR Associate’s Degree Medical Laboratory Technician with 3 years of experience including 1 year at BCH.
Analytical skills to collect information from diverse sources, apply professional principles in performing various analyses, and summarize the information and data in order to report test results, solve problems and/or design simple systems and programs.
Ability to organize or coordinate supply and inventory.
Ability to make assignments for PT or other testing needs.
Analytical skills and attention to detail to learn and perform complex testing systems.

NOTE: For Blood Bank Employees-Successful completion of the hospital’s Trustworthiness and Reliability assessment. 

Certification, Registration, or Licensure Required. National certification preferred.

This position is eligible for an Employee Referral Bonus.

 *We are offering a ""one time"" sign bonus of $5000.00.*

Please note: During a public health emergency, individuals in this role may be expected to take on additional duties to respond to organizational needs.

Boston Children’s Hospital offers competitive compensation and unmatched benefits, including affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement, and discounted rates on T-passes (50% off). Discover your best.

Boston Children’s Hospital is an Equal Opportunity / Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.    "
3,Phlebotomist II - Norwood - 40 hours,Norwood,Apr 30,https://boston.craigslist.org/gbs/npo/d/norwood-phlebotomist-ii-norwood-40-hours/7314967533.html,"
compensation: Hourly rate, varies depending on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.

To be considered for the position, apply directly to our careers page using the following link:
https://jobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=368&siteid=5205&Areq=58218BR

The Phlebotomist II will be responsible for:
Gathering and documenting necessary clinical information. Referring questions regarding information to appropriate clinician.
Selecting appropriate venous puncture site based on knowledge of pathophysiology. Performing phlebotomy for collection of blood  for clinical and research testing, accommodating special requests, and performing difficult venipunctures.
Monitoring individuals to ensure comfort, safety and adequate blood flow. Monitoring individuals for adverse reactions and resolving problem situations.
Preparing blood containers, paperwork, tubes, labels and forms.  Having extensive knowledge of testing requirements for clinical tests including special handling requirements.
Performing data entry and proof reading.
Monitoring and stocking supplies. Notifying appropriate staff when re‑order levels are reached or orders supplies as indicated.
Training, overseeing, and monitoring the workload of level 1 phlebotomy staff, visiting staff from other departments and interns.  Adjusting work assignments, overseeing patient flow to reflect changes in volume. Handling problem situations and developing and implementing new departmental policies and procedures.
Providing positive customer service that supports departmental and hospital operations.
Performing and recording quality control measures to insure accurate equipment performance, making and documenting necessary adjustments. Participating in continuous improvement efforts.
Contributing to the teamwork within and between departments and organizations.
At the Norwood location the phlebotomist serves as the Clinical Assistant, turns over rooms, takes vital signs, and assists with tests and procedures.  At times the phlebotomist may also do some front desk functions. 

To qualify, you must have:
A high school level of educational development and one to two years’ experience.
The analytical skills to gather and interpret data in situations in which the information or problems are relatively routine.
The ability to communicate effectively both orally and in writing and provide empathy in difficult interpersonal situations.
The ability to become familiar with testing requirements of hundreds of clinical tests and arranges workflow to ensure timeliness of testing.
Current registration/certification as a Phlebotomist by a National Certifying agency – PBT(ASCP), Certified Phlebotomy Technician (NHA), Certified Phlebotomy Technologist (NPA).
Pediatric Phlebotomy experience is strongly Preferred.

Shift/hours:
40 hours per week: Day shift.
Monday - Friday
Location:
Norwood

Boston Children’s Hospital offers competitive compensation and unmatched benefits, including affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement and discounted rates on T-passes (50% off). Discover your best.

Boston Children’s Hospital is an Equal Opportunity / Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.    "
4,Phlebotomist II -Location: 2 Brookline Place(8am-5pm),Brookline,Apr 30,https://boston.craigslist.org/gbs/npo/d/brookline-phlebotomist-ii-location/7314963815.html,"
compensation: Hourly rate, varies depending on experience

employment type: full-time

non-profit organization

","

QR Code Link to This Post


At Boston Children’s Hospital, the quality of our care – and our inclusive hospital working environment – lies in the diversity of our people. With patients from local communities and 160 countries around the world, we’re committed to reflecting the spectrum of their cultures, while opening doors of opportunity for our team. Here, different talents pursue common goals. Voices are heard and ideas are shared. Join us, and discover how your unique contributions can change lives. Yours included.

To be considered for the role, apply using the following link:
https://jobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=368&siteid=5205&Areq=58133BR

The Phlebotomist II will be responsible for:
Gathering and documenting necessary clinical information. Referring questions regarding information to appropriate clinician.
Selecting appropriate venous puncture site based on knowledge of pathophysiology. Performing phlebotomy for collection of blood for clinical and research testing, accommodating special requests, and performing difficult venipunctures.
Monitoring individuals to ensure comfort, safety and adequate blood flow. Monitoring individuals for adverse reactions and resolving problem situations.
Preparing blood containers, paperwork, tubes, labels and forms.  Having extensive knowledge of testing requirements for clinical tests including special handling requirements.
Performing data entry and proof reading.
Monitoring and stocking supplies. Notifying appropriate staff when re‑order levels are reached or orders supplies as indicated.
Training, overseeing, and monitoring the workload of level 1 phlebotomy staff, visiting staff from other departments and interns.  Adjusting work assignments, overseeing patient flow to reflect changes in volume. Handling problem situations and developing and implementing new departmental policies and procedures.
Providing positive customer service that supports departmental and hospital operations.
Performing and recording quality control measures to insure accurate equipment performance, making and documenting necessary adjustments. Participating in continuous improvement efforts.
Contributing to the teamwork within and between departments and organizations.

To qualify, you must have:
A high school level of educational development and one to two years’ experience.
The analytical skills to gather and interpret data in situations in which the information or problems are relatively routine.
The ability to communicate effectively both orally and in writing and provide empathy in difficult interpersonal situations.
The ability to become familiar with testing requirements of hundreds of clinical tests and arranges workflow to ensure timeliness of testing.
Current registration/certification as a Phlebotomist by a National Certifying agency – PBT(ASCP), Certified Phlebotomy Technician (NHA), Certified Phlebotomy Technologist (NPA).

Shift/hours:
40 hours per week: Day shift.
Monday - Friday, w/rotating weekend/holiday: 8:00-5:00pm.
Location:
2 Brookline Place

Boston Children’s Hospital offers competitive compensation and unmatched benefits, including affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement and discounted rates on T-passes (50% off). Discover your best.

Boston Children’s Hospital is an Equal Opportunity / Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.    "
5,Program Staff Scattered Sites-Lynn,Lynn,Apr 30,https://boston.craigslist.org/nos/npo/d/lynn-program-staff-scattered-sites-lynn/7314899840.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: part-time

non-profit organization

","

QR Code Link to This Post


Broad Street Program Staff

The primary focus of the Program Site Staff is to provide onsite assistance to program residents in the Scattered Sites Program. This position will focus on maintaining the safety, security and ensuring program guidelines are adhered to.

Part-Time 16 hours Sat/Sun 8:00am-4:00pm

Essential Functions:
• Responsible for unit visits and hourly rounds throughout the building for each shift.
• Ensure the cleanliness of common areas and units.
• Complete unit inspection reports.
• Complete shift and incident reports for each shift.
• Report any maintenance requests or call for emergency maintenance as required.
• Receive new families for placement as needed.
• Responsible for ensuring families keep common area and hallways free form all personal belongings.
• Maintain keys for units in locked key box.
• Mediate and address tenant concerns that may arise on shift.
• Ensure visiting guidelines are adhered to.


Please apply via the Centerboard Website if you enjoy working with people, a flexible work environment and want to make a difference.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

Learn more about who we are and what we do at Centerboard by visiting us at www.centerboard.org    "
6,Awake Overnights-Teen Living/Parenting-Chelsea&Melrose,Melrose MA,Apr 30,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7314896020.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time & Part-Time Shifts (Female Candidates)
Hours: 11PM-7AM / 12AM-8AM  

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
7,Awake Overnights-Teen Living/Parenting-Chelsea&Melrose,Melrose MA,Apr 30,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7314893033.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time & Part-Time Shifts (Female Candidates)
Hours: 11PM-7AM / 12AM-8AM  

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
8,Teen Parenting Program Family Advocate- Chelsea,Chelsea MA,Apr 30,https://boston.craigslist.org/gbs/npo/d/chelsea-teen-parenting-program-family/7314891212.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
9,Teen Parenting Program Family Advocate- Chelsea,Chelsea MA,Apr 30,https://boston.craigslist.org/nos/npo/d/chelsea-teen-parenting-program-family/7314887545.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
10,Teen Parenting Program Family Advocate- Melrose,Melrose MA,Apr 30,https://boston.craigslist.org/gbs/npo/d/melrose-teen-parenting-program-family/7314886136.html,"
compensation: Centerboard offers competitive salaries and benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Lynn, MA - Teen Living/Parenting Program Family Advocate Opportunity
Chelsea, MA- Teen Living/Parenting Program Family Advocate Opportunity
Melrose, MA- Teen Living/Parenting Program Family Advocate Opportunity

Full-Time and Part-Time Opportunities Available - Weekend, Evening and Flexible Scheduling (Female Candidates)

Teen Living/Parenting Program Family Advocate:

The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.
https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a "
